pitch start end duration velocity
A4 0.0000 0.1660 0.1660 64
A2 0.0000 0.0826 0.0826 64
A3 0.1667 0.2493 0.0826 64
C4 0.1667 0.2493 0.0826 64
C5 0.3333 0.4993 0.1660 64
A2 0.3333 0.4160 0.0826 64
A3 0.5000 0.5826 0.0826 64
C4 0.5000 0.5826 0.0826 64
D#5 0.6667 0.9035 0.2368 64
A2 0.6667 0.7493 0.0826 64
A3 0.8333 0.9160 0.0826 64
C4 0.8333 0.9160 0.0826 64
E5 0.9167 0.9951 0.0785 64
A2 1.0000 1.0826 0.0826 64
G#4 1.1667 1.2493 0.0826 64
A3 1.1667 1.2493 0.0826 64
C4 1.1667 1.2493 0.0826 64
A4 1.3333 1.4160 0.0826 64
A2 1.3333 1.4160 0.0826 64
C5 1.5000 1.5826 0.0826 64
A3 1.5000 1.5826 0.0826 64
C4 1.5000 1.5826 0.0826 64
D5 1.6667 1.7493 0.0826 64
A2 1.6667 1.7493 0.0826 64
C5 1.8333 1.9160 0.0826 64
A3 1.8333 1.9160 0.0826 64
C4 1.8333 1.9160 0.0826 64
D#5 2.0000 2.1576 0.1576 64
A2 2.0000 2.0826 0.0826 64
D#5 2.1667 2.2451 0.0785 64
A3 2.1667 2.2493 0.0826 64
C4 2.1667 2.2493 0.0826 64
E5 2.2500 2.4868 0.2368 64
A2 2.3333 2.4160 0.0826 64
A3 2.5000 2.5826 0.0826 64
C4 2.5000 2.5826 0.0826 64
G5 2.6667 2.7493 0.0826 64
F2 2.6667 2.7493 0.0826 64
F#5 2.8333 2.9160 0.0826 64
F3 2.8333 2.9160 0.0826 64
A3 2.8333 2.9160 0.0826 64
F5 3.0000 3.0826 0.0826 64
F2 3.0000 3.0826 0.0826 64
D#5 3.1667 3.2493 0.0826 64
F3 3.1667 3.2493 0.0826 64
A3 3.1667 3.2493 0.0826 64
D5 3.3333 3.4160 0.0826 64
F2 3.3333 3.4160 0.0826 64
C5 3.5000 3.5826 0.0826 64
F3 3.5000 3.5826 0.0826 64
A3 3.5000 3.5826 0.0826 64
B4 3.6667 3.7493 0.0826 64
F2 3.6667 3.7493 0.0826 64
A#4 3.8333 3.9160 0.0826 64
F3 3.8333 3.9160 0.0826 64
A3 3.8333 3.9160 0.0826 64
B4 4.0000 4.0826 0.0826 64
E2 4.0000 4.0826 0.0826 64
C5 4.1667 4.2493 0.0826 64
G#3 4.1667 4.2493 0.0826 64
B3 4.1667 4.2493 0.0826 64
D5 4.3333 4.4160 0.0826 64
E2 4.3333 4.4160 0.0826 64
D#5 4.5000 4.5826 0.0826 64
G#3 4.5000 4.5826 0.0826 64
B3 4.5000 4.5826 0.0826 64
E5 4.6667 4.8326 0.1660 64
E2 4.6667 4.7493 0.0826 64
G#3 4.8333 4.9160 0.0826 64
B3 4.8333 4.9160 0.0826 64
E4 5.0000 5.3160 0.3160 64
E2 5.0000 5.0826 0.0826 64
G#3 5.1667 5.2493 0.0826 64
B3 5.1667 5.2493 0.0826 64
A4 5.3333 5.4993 0.1660 64
A2 5.3333 5.4160 0.0826 64
A3 5.5000 5.5826 0.0826 64
C4 5.5000 5.5826 0.0826 64
C5 5.6667 5.8326 0.1660 64
A2 5.6667 5.7493 0.0826 64
A3 5.8333 5.9160 0.0826 64
C4 5.8333 5.9160 0.0826 64
D#5 6.0000 6.2368 0.2368 64
A2 6.0000 6.0826 0.0826 64
A3 6.1667 6.2493 0.0826 64
C4 6.1667 6.2493 0.0826 64
E5 6.2500 6.3285 0.0785 64
A2 6.3333 6.4160 0.0826 64
G#4 6.5000 6.5826 0.0826 64
A3 6.5000 6.5826 0.0826 64
C4 6.5000 6.5826 0.0826 64
A4 6.6667 6.7493 0.0826 64
A2 6.6667 6.7493 0.0826 64
C5 6.8333 6.9160 0.0826 64
A3 6.8333 6.9160 0.0826 64
C4 6.8333 6.9160 0.0826 64
D5 7.0000 7.0826 0.0826 64
A2 7.0000 7.0826 0.0826 64
C5 7.1667 7.2493 0.0826 64
A3 7.1667 7.2493 0.0826 64
C4 7.1667 7.2493 0.0826 64
D#5 7.3333 7.4910 0.1576 64
A2 7.3333 7.4160 0.0826 64
D#5 7.5000 7.5785 0.0785 64
A3 7.5000 7.5826 0.0826 64
C4 7.5000 7.5826 0.0826 64
E5 7.5833 7.8201 0.2368 64
A2 7.6667 7.7493 0.0826 64
A3 7.8333 7.9160 0.0826 64
C4 7.8333 7.9160 0.0826 64
G5 8.0000 8.0826 0.0826 64
F2 8.0000 8.0826 0.0826 64
F#5 8.1667 8.2493 0.0826 64
F3 8.1667 8.2493 0.0826 64
A3 8.1667 8.2493 0.0826 64
F5 8.3333 8.4160 0.0826 64
F2 8.3333 8.4160 0.0826 64
D#5 8.5000 8.5826 0.0826 64
F3 8.5000 8.5826 0.0826 64
A3 8.5000 8.5826 0.0826 64
E5 8.6667 8.7493 0.0826 64
F2 8.6667 8.7493 0.0826 64
F5 8.8333 8.9160 0.0826 64
F3 8.8333 8.9160 0.0826 64
A3 8.8333 8.9160 0.0826 64
F#5 9.0000 9.0826 0.0826 64
F2 9.0000 9.0826 0.0826 64
G5 9.1667 9.2493 0.0826 64
F3 9.1667 9.2493 0.0826 64
A3 9.1667 9.2493 0.0826 64
G#5 9.3333 9.4160 0.0826 64
E2 9.3333 9.4160 0.0826 64
G#5 9.5000 9.5826 0.0826 64
G#3 9.5000 9.5826 0.0826 64
B3 9.5000 9.5826 0.0826 64
A5 9.6667 9.7493 0.0826 64
E2 9.6667 9.7493 0.0826 64
A5 9.8333 9.9160 0.0826 64
G#3 9.8333 9.9160 0.0826 64
B3 9.8333 9.9160 0.0826 64
B5 10.0000 10.0826 0.0826 64
E2 10.0000 10.1660 0.1660 64
E2 10.3333 10.6660 0.3326 96
B2 10.3333 10.6660 0.3326 96
E3 10.3333 10.6660 0.3326 96
A4 10.6667 10.8326 0.1660 96
A5 10.6667 10.8326 0.1660 96
A2 10.6667 10.7493 0.0826 96
A3 10.8333 10.9160 0.0826 96
C4 10.8333 10.9160 0.0826 96
C5 11.0000 11.1660 0.1660 96
C6 11.0000 11.1660 0.1660 96
A2 11.0000 11.0826 0.0826 96
A3 11.1667 11.2493 0.0826 96
C4 11.1667 11.2493 0.0826 96
D#5 11.3333 11.5701 0.2368 96
D#6 11.3333 11.5701 0.2368 96
A2 11.3333 11.4160 0.0826 96
A3 11.5000 11.5826 0.0826 96
C4 11.5000 11.5826 0.0826 96
E5 11.5833 11.6618 0.0785 96
E6 11.5833 11.6618 0.0785 96
A2 11.6667 11.7493 0.0826 96
G#4 11.8333 11.9160 0.0826 96
G#5 11.8333 11.9160 0.0826 96
A3 11.8333 11.9160 0.0826 96
C4 11.8333 11.9160 0.0826 96
A4 12.0000 12.0826 0.0826 96
A5 12.0000 12.0826 0.0826 96
C3 12.0000 12.0826 0.0826 96
C5 12.1667 12.2493 0.0826 96
C6 12.1667 12.2493 0.0826 96
A3 12.1667 12.2493 0.0826 96
C4 12.1667 12.2493 0.0826 96
D5 12.3333 12.4160 0.0826 96
D6 12.3333 12.4160 0.0826 96
C3 12.3333 12.4160 0.0826 96
C5 12.5000 12.5826 0.0826 96
C6 12.5000 12.5826 0.0826 96
A3 12.5000 12.5826 0.0826 96
C4 12.5000 12.5826 0.0826 96
D#5 12.6667 12.8243 0.1576 96
D#6 12.6667 12.8243 0.1576 96
C3 12.6667 12.7493 0.0826 96
D#5 12.8333 12.9118 0.0785 96
D#6 12.8333 12.9118 0.0785 96
A3 12.8333 12.9160 0.0826 96
C4 12.8333 12.9160 0.0826 96
E5 12.9167 13.1535 0.2368 96
E6 12.9167 13.1535 0.2368 96
C3 13.0000 13.0826 0.0826 96
A3 13.1667 13.2493 0.0826 96
C4 13.1667 13.2493 0.0826 96
G5 13.3333 13.4160 0.0826 96
G6 13.3333 13.4160 0.0826 96
F2 13.3333 13.4160 0.0826 96
F#5 13.5000 13.5826 0.0826 96
F#6 13.5000 13.5826 0.0826 96
F3 13.5000 13.5826 0.0826 96
A3 13.5000 13.5826 0.0826 96
F5 13.6667 13.7493 0.0826 96
F6 13.6667 13.7493 0.0826 96
F2 13.6667 13.7493 0.0826 96
D#5 13.8333 13.9160 0.0826 96
D#6 13.8333 13.9160 0.0826 96
F3 13.8333 13.9160 0.0826 96
A3 13.8333 13.9160 0.0826 96
D5 14.0000 14.0826 0.0826 96
D6 14.0000 14.0826 0.0826 96
F2 14.0000 14.0826 0.0826 96
C5 14.1667 14.2493 0.0826 96
C6 14.1667 14.2493 0.0826 96
F3 14.1667 14.2493 0.0826 96
A3 14.1667 14.2493 0.0826 96
B4 14.3333 14.4160 0.0826 96
B5 14.3333 14.4160 0.0826 96
F2 14.3333 14.4160 0.0826 96
A#4 14.5000 14.5826 0.0826 96
A#5 14.5000 14.5826 0.0826 96
F3 14.5000 14.5826 0.0826 96
A3 14.5000 14.5826 0.0826 96
B4 14.6667 14.7493 0.0826 96
B5 14.6667 14.7493 0.0826 96
E2 14.6667 14.7493 0.0826 96
C5 14.8333 14.9160 0.0826 96
C6 14.8333 14.9160 0.0826 96
G#3 14.8333 14.9160 0.0826 96
B3 14.8333 14.9160 0.0826 96
D5 15.0000 15.0826 0.0826 96
D6 15.0000 15.0826 0.0826 96
E2 15.0000 15.0826 0.0826 96
D#5 15.1667 15.2493 0.0826 96
D#6 15.1667 15.2493 0.0826 96
G#3 15.1667 15.2493 0.0826 96
B3 15.1667 15.2493 0.0826 96
E5 15.3333 15.4993 0.1660 96
E6 15.3333 15.4993 0.1660 96
E2 15.3333 15.4160 0.0826 96
G#3 15.5000 15.5826 0.0826 96
B3 15.5000 15.5826 0.0826 96
E4 15.6667 15.9826 0.3160 96
E5 15.6667 15.9826 0.3160 96
E2 15.6667 15.7493 0.0826 96
G#3 15.8333 15.9160 0.0826 96
B3 15.8333 15.9160 0.0826 96
